 mean: 0.64557, std: 0.17186, params: {'penalty': 'l1', 'C': 3792690.1907322537, 'class_weight': None},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 3792690.1907322537, 'class_weight': None},
 mean: 0.62025, std: 0.14197, params: {'penalty': 'l1', 'C': 3792690.1907322537, 'class_weight': 'balanced'},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 3792690.1907322537, 'class_weight': 'balanced'},
 mean: 0.68354, std: 0.13202, params: {'penalty': 'l1', 'C': 18329807.108324375, 'class_weight': None},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 18329807.108324375, 'class_weight': None},
 mean: 0.59494, std: 0.11613, params: {'penalty': 'l1', 'C': 18329807.108324375, 'class_weight': 'balanced'},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 18329807.108324375, 'class_weight': 'balanced'},
 mean: 0.69620, std: 0.12382, params: {'penalty': 'l1', 'C': 88586679.04100832, 'class_weight': None},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 88586679.04100832, 'class_weight': None},
 mean: 0.67089, std: 0.08381, params: {'penalty': 'l1', 'C': 88586679.04100832, 'class_weight': 'balanced'},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 88586679.04100832, 'class_weight': 'balanced'},
 mean: 0.70886, std: 0.07995, params: {'penalty': 'l1', 'C': 428133239.8719396, 'class_weight': None},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 428133239.8719396, 'class_weight': None},
 mean: 0.58228, std: 0.17178, params: {'penalty': 'l1', 'C': 428133239.8719396, 'class_weight': 'balanced'},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 428133239.8719396, 'class_weight': 'balanced'},
 mean: 0.58228, std: 0.10942, params: {'penalty': 'l1', 'C': 2069138081.1147902, 'class_weight': None},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 2069138081.1147902, 'class_weight': None},
 mean: 0.64557, std: 0.12938, params: {'penalty': 'l1', 'C': 2069138081.1147902, 'class_weight': 'balanced'},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 2069138081.1147902, 'class_weight': 'balanced'},
 mean: 0.67089, std: 0.08381, params: {'penalty': 'l1', 'C': 10000000000.0, 'class_weight': None},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 10000000000.0, 'class_weight': None},
 mean: 0.70886, std: 0.15603, params: {'penalty': 'l1', 'C': 10000000000.0, 'class_weight': 'balanced'},
 mean: 0.77215, std: 0.04227, params: {'penalty': 'l2', 'C': 10000000000.0, 'class_weight': 'balanced'}]
